,mode,price,catch,pbeach,ppier,pboat,pcharter,cbeach,cpier,cboat,ccharter,income,log_income,pdif
91,charter,57.534,0.4671,48.114,48.114,33.534,57.534,0.1049,0.0451,0.1574,0.4671,5416.6667,8.59723590524362,9.420000000000002
93,charter,109.32,0.0209,72.462,72.462,74.32,109.32,0.0678,0.0789,0.0102,0.0209,7083.3317,8.86549965509619,36.85799999999999
95,charter,93.32,0.0209,56.862,56.862,58.32,93.32,0.0678,0.0789,0.0102,0.0209,5416.6667,8.59723590524362,36.45799999999999
97,charter,79.24,0.1726,210.566,210.566,49.74,79.24,0.0678,0.0052,0.0732,0.1726,6250.0013,8.740336950730425,131.32600000000002
102,charter,60.74,0.2377,55.77,55.77,25.74,60.74,0.0678,0.0025,0.0108,0.2377,2916.6666,7.978196667826407,4.969999999999999
103,charter,54.74,0.6456,42.77,42.77,19.74,54.74,0.0678,0.0789,0.0559,0.6456,2083.3332,7.641724390062335,11.969999999999999
104,charter,91.24,0.1726,261.366,261.366,61.74,91.24,0.0678,0.0052,0.0732,0.1726,7916.6663,8.976725474478886,170.12599999999998
105,charter,181.77,0.3975,268.702,268.702,146.77,181.77,0.5333,0.4522,0.1665,0.3975,8750.001,9.076809093637367,86.93199999999999
106,charter,246.102,2.3014,55.74,55.74,221.102,246.102,0.2537,0.1498,0.6817,2.3014,7083.3317,8.86549965509619,190.362
107,charter,67.24,0.1726,159.766,159.766,37.74,67.24,0.0678,0.0052,0.0732,0.1726,4583.332,8.430181523517474,92.526
111,charter,61.32,0.2377,25.662,25.662,26.32,61.32,0.0678,0.0025,0.0108,0.2377,2083.3332,7.641724390062335,35.658
112,charter,47.82,0.1726,46.258,46.258,18.32,47.82,0.0678,0.0052,0.0732,0.1726,1249.9998,7.130898670296334,1.5619999999999976
114,charter,101.32,0.6456,64.66199999999999,64.66199999999999,66.32,101.32,0.0678,0.0789,0.0559,0.6456,6250.0013,8.740336950730425,36.658
115,charter,65.262,0.4671,42.32,42.32,41.262,65.262,0.1049,0.0451,0.1574,0.4671,3749.9999,8.22951109229779,22.942
117,charter,108.002,0.0209,77.234,77.234,73.002,108.002,0.0678,0.0789,0.0102,0.0209,3749.9999,8.22951109229779,30.768
118,charter,97.634,1.0266,150.15,150.15,62.63399999999999,97.634,0.5333,0.4522,0.2413,1.0266,2916.6666,7.978196667826407,52.516000000000005
119,charter,296.552,0.0041,135.634,135.634,267.552,296.552,0.0678,0.0789,0.1643,0.0041,7083.3317,8.86549965509619,160.91800000000003
122,charter,60.74,1.0905,55.77,55.77,25.74,60.74,0.0678,0.0789,0.0897,1.0905,2916.6666,7.978196667826407,4.969999999999999
125,charter,102.74,0.0209,146.77,146.77,67.74,102.74,0.0678,0.0789,0.0102,0.0209,8750.001,9.076809093637367,44.030000000000015
127,charter,61.24,0.1726,134.366,134.366,31.74,61.24,0.0678,0.0052,0.0732,0.1726,3749.9999,8.22951109229779,73.126
131,charter,84.74,0.6456,107.77,107.77,49.74,84.74,0.0678,0.0789,0.0559,0.6456,6250.0013,8.740336950730425,23.03
136,charter,66.74,0.2377,68.77,68.77,31.74,66.74,0.0678,0.0025,0.0108,0.2377,3749.9999,8.22951109229779,2.030000000000001
137,charter,66.74,0.6456,68.77,68.77,31.74,66.74,0.0678,0.0789,0.0559,0.6456,3749.9999,8.22951109229779,2.030000000000001
138,charter,52.862,0.4216,67.78399999999999,67.78399999999999,17.862000000000002,52.862,0.5333,0.0069,0.0361,0.4216,1249.9998,7.130898670296334,14.92199999999999
139,charter,84.06200000000001,1.0266,186.18400000000003,186.18400000000003,49.062,84.06200000000001,0.5333,0.4522,0.2413,1.0266,4583.332,8.430181523517474,102.12200000000001
141,charter,45.062,0.3975,38.184,38.184,10.062,45.062,0.5333,0.4522,0.1665,0.3975,416.66668,6.0322865736282365,6.878
143,charter,85.32,0.2377,49.062,49.062,50.32,85.32,0.0678,0.0025,0.0108,0.2377,4583.332,8.430181523517474,36.257999999999996
145,charter,84.306,0.0046,85.698,85.698,60.306,84.306,0.1049,0.0451,0.0023,0.0046,3749.9999,8.22951109229779,1.391999999999996
146,charter,185.198,0.2773,166.69799999999998,166.69799999999998,166.69799999999998,185.198,0.2537,0.0014,0.0626,0.2773,7916.6663,8.976725474478886,18.50000000000003
147,charter,106.706,0.0058,252.858,252.858,71.706,106.706,0.5333,0.4522,0.0156,0.0058,4583.332,8.430181523517474,146.152
149,charter,95.306,0.0058,212.658,212.658,60.306,95.306,0.5333,0.4522,0.0156,0.0058,3749.9999,8.22951109229779,117.35199999999999
150,charter,95.306,0.0058,212.658,212.658,60.306,95.306,0.5333,0.4522,0.0156,0.0058,3749.9999,8.22951109229779,117.35199999999999
151,charter,61.106,0.0058,92.058,92.058,26.106,61.106,0.5333,0.4522,0.0156,0.0058,1249.9998,7.130898670296334,30.952000000000005
157,charter,73.572,0.0046,109.35,109.35,49.572,73.572,0.1049,0.0451,0.0023,0.0046,5416.6667,8.59723590524362,35.77799999999999
159,charter,70.972,1.0266,206.31,206.31,35.972,70.972,0.5333,0.4522,0.2413,1.0266,3749.9999,8.22951109229779,135.33800000000002
160,charter,77.77199999999999,1.0266,245.31,245.31,42.772,77.77199999999999,0.5333,0.4522,0.0051,1.0266,4583.332,8.430181523517474,167.538
161,charter,70.972,1.0266,206.31,206.31,35.972,70.972,0.5333,0.4522,0.2413,1.0266,3749.9999,8.22951109229779,135.33800000000002
162,charter,192.31,2.3014,64.35,64.35,167.31,192.31,0.2537,0.1498,0.6817,2.3014,2916.6666,7.978196667826407,127.96000000000001
164,charter,91.372,0.4216,323.31,323.31,56.372,91.372,0.5333,0.0069,0.0361,0.4216,6250.0013,8.740336950730425,231.938
169,charter,129.414,0.5391,104.414,104.414,104.414,129.414,0.0678,0.0503,0.2601,0.5391,4583.332,8.430181523517474,24.999999999999986
172,charter,87.9,0.0058,243.34,243.34,52.9,87.9,0.5333,0.4522,0.0156,0.0058,3749.9999,8.22951109229779,155.44
174,charter,70.972,0.4216,206.31,206.31,35.972,70.972,0.5333,0.0069,0.0361,0.4216,3749.9999,8.22951109229779,135.33800000000002
175,charter,99.35,1.0905,29.172,29.172,64.35,99.35,0.0678,0.0789,0.0897,1.0905,2916.6666,7.978196667826407,70.178
177,charter,114.35,0.6456,35.972,35.972,79.35,114.35,0.0678,0.0789,0.0559,0.6456,3749.9999,8.22951109229779,78.37799999999999
179,charter,93.85,0.324,71.214,71.214,64.35,93.85,0.0678,0.0503,0.1082,0.324,2916.6666,7.978196667826407,22.635999999999996
181,charter,67.604,1.0266,151.00799999999998,151.00799999999998,32.604,67.604,0.5333,0.4522,0.2413,1.0266,2916.6666,7.978196667826407,83.40399999999998
182,charter,75.204,1.0266,186.208,186.208,40.204,75.204,0.5333,0.4522,0.2413,1.0266,3749.9999,8.22951109229779,111.004
185,charter,72.506,1.0266,132.25799999999998,132.25799999999998,37.506,72.506,0.5333,0.4522,0.2413,1.0266,2083.3332,7.641724390062335,59.75199999999998
186,charter,106.706,0.4216,252.858,252.858,71.706,106.706,0.5333,0.0069,0.0361,0.4216,4583.332,8.430181523517474,146.152
189,charter,127.848,0.0209,63.004,63.004,92.848,127.848,0.0678,0.0789,0.0102,0.0209,6250.0013,8.740336950730425,64.844
190,charter,117.404,0.3087,137.648,137.648,93.404,117.404,0.1049,0.0079,0.0613,0.3087,9583.3357,9.167781004513879,20.244
191,charter,82.804,1.0266,221.408,221.408,47.804,82.804,0.5333,0.4522,0.0051,1.0266,4583.332,8.430181523517474,138.60399999999998
194,charter,50.114,0.0209,10.534,10.534,15.114,50.114,0.0678,0.0789,0.0102,0.0209,1249.9998,7.130898670296334,39.58
195,charter,70.972,1.0266,206.31,206.31,35.972,70.972,0.5333,0.4522,0.2413,1.0266,3749.9999,8.22951109229779,135.33800000000002
196,charter,106.706,0.3975,252.858,252.858,71.706,106.706,0.5333,0.4522,0.1665,0.3975,4583.332,8.430181523517474,146.152
198,charter,72.098,0.2377,26.106,26.106,37.098,72.098,0.0678,0.0025,0.0108,0.2377,1249.9998,7.130898670296334,45.992
199,charter,50.398,0.1176,22.704,22.704,20.898000000000003,50.398,0.0678,0.0503,0.0016,0.1176,416.66668,6.0322865736282365,27.694000000000003
202,charter,163.70600000000002,0.4216,453.858,453.858,128.70600000000002,163.70600000000002,0.5333,0.0069,0.0361,0.4216,8750.001,9.076809093637367,290.152
204,charter,72.506,1.0266,132.25799999999998,132.25799999999998,37.506,72.506,0.5333,0.4522,0.2413,1.0266,2083.3332,7.641724390062335,59.75199999999998
208,charter,141.64,0.0029,116.64,116.64,116.64,141.64,0.0678,0.0503,0.0276,0.0029,5416.6667,8.59723590524362,24.999999999999986
210,charter,52.404,1.0266,80.608,80.608,17.404,52.404,0.5333,0.4522,0.2413,1.0266,1249.9998,7.130898670296334,28.204
211,charter,387.208,2.3014,115.248,115.248,362.208,387.208,0.2537,0.1498,0.6817,2.3014,7916.6663,8.976725474478886,271.96000000000004
212,charter,98.004,0.0058,291.808,291.808,63.004,98.004,0.5333,0.4522,0.0156,0.0058,6250.0013,8.740336950730425,193.80399999999997
214,charter,61.64,0.2421,36.64,36.64,36.64,61.64,0.0678,0.0052,0.1491,0.2421,1249.9998,7.130898670296334,25.0
215,charter,40.934,1.0266,39.474,39.474,5.934,40.934,0.5333,0.4522,0.2413,1.0266,416.66668,6.0322865736282365,1.4600000000000009
217,charter,50.13399999999999,0.0058,100.674,100.674,15.134,50.13399999999999,0.5333,0.4522,0.0156,0.0058,2083.3332,7.641724390062335,50.54000000000001
218,charter,68.53399999999999,0.0058,223.074,223.074,33.534,68.53399999999999,0.5333,0.4522,0.0156,0.0058,5416.6667,8.59723590524362,154.54000000000002
219,charter,59.334,0.0058,161.874,161.874,24.334,59.334,0.5333,0.4522,0.0156,0.0058,3749.9999,8.22951109229779,102.53999999999999
220,charter,163.70600000000002,1.0266,453.858,453.858,128.70600000000002,163.70600000000002,0.5333,0.4522,0.2413,1.0266,8750.001,9.076809093637367,290.152
221,charter,106.706,0.0058,252.858,252.858,71.706,106.706,0.5333,0.4522,0.0156,0.0058,4583.332,8.430181523517474,146.152
223,charter,139.704,0.1648,71.706,71.706,110.704,139.704,0.0678,0.0789,0.0971,0.1648,4583.332,8.430181523517474,67.998
225,charter,79.404,0.4671,81.648,81.648,55.404,79.404,0.1049,0.0451,0.1574,0.4671,5416.6667,8.59723590524362,2.2439999999999998
227,charter,82.804,0.4216,221.408,221.408,47.804,82.804,0.5333,0.0069,0.0361,0.4216,4583.332,8.430181523517474,138.60399999999998
228,charter,50.114,0.0209,10.534,10.534,15.114,50.114,0.0678,0.0789,0.0102,0.0209,1249.9998,7.130898670296334,39.58
233,charter,42.986,0.1648,17.986,17.986,17.986,42.986,0.0678,0.0503,0.023,0.1648,3749.9999,8.22951109229779,24.999999999999996
234,charter,46.986,0.5391,17.986,17.986,17.986,46.986,0.0678,0.0789,0.1643,0.5391,3749.9999,8.22951109229779,28.999999999999996
245,charter,33.58,0.2421,8.58,8.58,8.58,33.58,0.0678,0.0052,0.1491,0.2421,2916.6666,7.978196667826407,25.0
246,charter,41.58,0.2421,56.61,56.61,12.58,41.58,0.0678,0.0025,0.0499,0.2421,4583.332,8.430181523517474,15.030000000000001
247,charter,43.58,0.5391,18.58,18.58,18.58,43.58,0.0678,0.0503,0.2601,0.5391,7083.3317,8.86549965509619,25.0
250,charter,35.58,0.2421,29.61,29.61,6.58,35.58,0.0678,0.0025,0.0499,0.2421,2083.3332,7.641724390062335,5.969999999999999
252,charter,29.58,0.1648,4.58,4.58,4.58,29.58,0.0678,0.0503,0.023,0.1648,1249.9998,7.130898670296334,25.0
255,charter,49.786,0.2421,24.786,24.786,24.786,49.786,0.0678,0.0052,0.1491,0.2421,5416.6667,8.59723590524362,25.0
257,charter,59.618,0.5391,30.618,30.618,30.618,59.618,0.0678,0.0789,0.1643,0.5391,5416.6667,8.59723590524362,29.000000000000004
260,charter,33.29,0.1648,4.29,4.29,4.29,33.29,0.0678,0.0789,0.0971,0.1648,2916.6666,7.978196667826407,29.0
270,charter,32.722,0.0029,7.722,7.722,7.722,32.722,0.0678,0.0503,0.0276,0.0029,2916.6666,7.978196667826407,25.0
272,charter,30.29,0.0029,5.29,5.29,5.29,30.29,0.0678,0.0503,0.0276,0.0029,3749.9999,8.22951109229779,25.0
274,charter,34.29,0.1648,5.29,5.29,5.29,34.29,0.0678,0.0789,0.0971,0.1648,3749.9999,8.22951109229779,29.0
277,charter,36.29,0.0029,7.29,7.29,7.29,36.29,0.0678,0.0789,0.0014,0.0029,5416.6667,8.59723590524362,29.0
279,charter,39.29,1.0266,214.5,214.5,4.29,39.29,0.5333,0.4522,0.2413,1.0266,2916.6666,7.978196667826407,175.21
280,charter,29.29,0.1648,4.29,4.29,4.29,29.29,0.0678,0.0503,0.023,0.1648,2916.6666,7.978196667826407,25.0
281,charter,31.29,0.3087,166.21200000000002,166.21200000000002,7.29,31.29,0.1049,0.0079,0.0613,0.3087,5416.6667,8.59723590524362,134.92200000000003
282,charter,35.29,0.1648,6.29,6.29,6.29,35.29,0.0678,0.0789,0.0971,0.1648,4583.332,8.430181523517474,29.0
284,charter,38.29,0.4216,164.5,164.5,3.29,38.29,0.5333,0.0069,0.0361,0.4216,2083.3332,7.641724390062335,126.21000000000001
285,charter,33.29,0.2421,4.29,4.29,4.29,33.29,0.0678,0.0025,0.0499,0.2421,2916.6666,7.978196667826407,29.0
286,charter,37.29,1.0266,114.5,114.5,2.29,37.29,0.5333,0.4522,0.2413,1.0266,1249.9998,7.130898670296334,77.21000000000001
292,charter,35.87,0.1648,11.45,11.45,6.87,35.87,0.0678,0.0789,0.0971,0.1648,1249.9998,7.130898670296334,24.419999999999998
293,charter,47.87,0.5391,31.45,31.45,18.87,47.87,0.0678,0.0789,0.1643,0.5391,4583.332,8.430181523517474,16.419999999999998
294,charter,58.87,0.5391,33.87,33.87,33.87,58.87,0.0678,0.0503,0.2601,0.5391,8750.001,9.076809093637367,25.0
296,charter,42.29,1.0266,364.5,364.5,7.29,42.29,0.5333,0.4522,0.0051,1.0266,5416.6667,8.59723590524362,322.21
297,charter,41.29,1.0266,314.5,314.5,6.29,41.29,0.5333,0.4522,0.2413,1.0266,4583.332,8.430181523517474,273.21
298,charter,30.29,0.1648,5.29,5.29,5.29,30.29,0.0678,0.0503,0.023,0.1648,3749.9999,8.22951109229779,25.0
300,charter,36.29,0.1648,7.29,7.29,7.29,36.29,0.0678,0.0789,0.0971,0.1648,5416.6667,8.59723590524362,29.0
304,charter,35.58,0.0029,10.58,10.58,10.58,35.58,0.0678,0.0503,0.0276,0.0029,3749.9999,8.22951109229779,25.0
308,charter,37.58,0.2421,38.61,38.61,8.58,37.58,0.0678,0.0025,0.0499,0.2421,2916.6666,7.978196667826407,1.0300000000000011
309,charter,29.29,0.5391,4.29,4.29,4.29,29.29,0.0678,0.0503,0.2601,0.5391,2916.6666,7.978196667826407,25.0
311,charter,27.29,0.0046,75.012,75.012,3.29,27.29,0.1049,0.0451,0.0023,0.0046,2083.3332,7.641724390062335,47.722
314,charter,30.29,0.4671,143.412,143.412,6.29,30.29,0.1049,0.0451,0.1574,0.4671,4583.332,8.430181523517474,113.12200000000001
315,charter,29.29,0.2421,4.29,4.29,4.29,29.29,0.0678,0.0052,0.1491,0.2421,2916.6666,7.978196667826407,25.0
316,charter,35.29,0.5391,6.29,6.29,6.29,35.29,0.0678,0.0789,0.1643,0.5391,4583.332,8.430181523517474,29.0
318,charter,29.29,0.0029,4.29,4.29,4.29,29.29,0.0678,0.0503,0.0276,0.0029,2916.6666,7.978196667826407,25.0
320,charter,32.29,0.0041,26.32,26.32,3.29,32.29,0.0678,0.0789,0.1643,0.0041,2083.3332,7.641724390062335,5.969999999999999
330,charter,32.29,0.1648,26.32,26.32,3.29,32.29,0.0678,0.0789,0.0971,0.1648,2083.3332,7.641724390062335,5.969999999999999
333,charter,45.58,0.2421,74.61,74.61,16.58,45.58,0.0678,0.0025,0.0499,0.2421,6250.0013,8.740336950730425,29.03
335,charter,31.29,0.5391,6.29,6.29,6.29,31.29,0.0678,0.0503,0.2601,0.5391,4583.332,8.430181523517474,25.0
341,charter,31.29,0.0029,6.29,6.29,6.29,31.29,0.0678,0.0503,0.0276,0.0029,4583.332,8.430181523517474,25.0
346,charter,58.32,0.3087,132.132,132.132,34.32,58.32,0.1049,0.0079,0.0613,0.3087,2916.6666,7.978196667826407,73.81200000000001
347,charter,32.29,0.0029,26.32,26.32,3.29,32.29,0.0678,0.0789,0.0014,0.0029,2083.3332,7.641724390062335,5.969999999999999
348,charter,32.29,0.5391,7.29,7.29,7.29,32.29,0.0678,0.0503,0.2601,0.5391,5416.6667,8.59723590524362,25.0
352,charter,46.87,0.1648,21.87,21.87,21.87,46.87,0.0678,0.0503,0.023,0.1648,5416.6667,8.59723590524362,24.999999999999996
354,charter,50.386,0.5391,21.386,21.386,21.386,50.386,0.0678,0.0789,0.1643,0.5391,4583.332,8.430181523517474,29.000000000000004
355,charter,76.45,0.4216,455.95,455.95,41.45,76.45,0.5333,0.0069,0.0361,0.4216,6250.0013,8.740336950730425,379.5
357,charter,260.95,0.0052,119.262,119.262,235.95,260.95,0.2537,0.1498,0.0531,0.0052,2916.6666,7.978196667826407,141.688
360,charter,56.87,0.0041,46.45,46.45,27.87,56.87,0.0678,0.0789,0.1643,0.0041,7083.3317,8.86549965509619,10.419999999999995
366,charter,109.354,0.6456,45.402,45.402,74.354,109.354,0.0678,0.0789,0.0559,0.6456,2083.3332,7.641724390062335,63.952
368,charter,86.75399999999999,0.0209,31.602,31.602,51.754,86.75399999999999,0.0678,0.0789,0.0102,0.0209,1249.9998,7.130898670296334,55.15199999999999
369,charter,66.602,0.4216,106.714,106.714,31.602,66.602,0.5333,0.0069,0.0361,0.4216,1249.9998,7.130898670296334,40.111999999999995
372,charter,189.548,0.0058,393.66,393.66,154.548,189.548,0.5333,0.4522,0.0156,0.0058,5416.6667,8.59723590524362,204.11200000000002
373,charter,104.748,0.4216,177.66,177.66,69.748,104.748,0.5333,0.0069,0.0361,0.4216,2083.3332,7.641724390062335,72.91199999999999
374,charter,51.832,0.2421,26.832,26.832,26.832,51.832,0.0678,0.0052,0.1491,0.2421,416.66668,6.0322865736282365,25.0
375,charter,135.032,0.5391,110.032,110.032,110.032,135.032,0.0678,0.0503,0.2601,0.5391,3749.9999,8.22951109229779,25.000000000000014
378,charter,165.832,1.0266,353.49800000000005,353.49800000000005,130.832,165.832,0.5333,0.4522,0.2413,1.0266,4583.332,8.430181523517474,187.66600000000005
382,charter,162.49,0.1726,90.948,90.948,132.99,162.49,0.0678,0.0052,0.0732,0.1726,2916.6666,7.978196667826407,71.54200000000002
383,charter,61.574,1.0266,65.016,65.016,26.574,61.574,0.5333,0.4522,0.2413,1.0266,416.66668,6.0322865736282365,3.4420000000000073
384,charter,123.374,0.0058,216.216,216.216,88.374,123.374,0.5333,0.4522,0.0156,0.0058,2916.6666,7.978196667826407,92.84200000000001
388,charter,185.174,1.0266,367.416,367.416,150.174,185.174,0.5333,0.4522,0.2413,1.0266,5416.6667,8.59723590524362,182.242
389,charter,253.856,0.2377,170.774,170.774,218.856,253.856,0.0678,0.0025,0.0108,0.2377,6250.0013,8.740336950730425,83.082
390,charter,148.256,0.6456,88.374,88.374,113.256,148.256,0.0678,0.0789,0.0559,0.6456,2916.6666,7.978196667826407,59.882000000000005
394,charter,267.574,1.0266,569.016,569.016,232.574,267.574,0.5333,0.4522,0.2413,1.0266,8750.001,9.076809093637367,301.44199999999995
395,charter,129.386,0.5391,88.374,88.374,100.386,129.386,0.0678,0.0789,0.1643,0.5391,2916.6666,7.978196667826407,41.012
396,charter,164.574,0.3975,317.016,317.016,129.57399999999998,164.574,0.5333,0.4522,0.1665,0.3975,4583.332,8.430181523517474,152.442
397,charter,193.448,2.3014,106.596,106.596,168.44799999999998,193.448,0.2537,0.1498,0.6817,2.3014,2083.3332,7.641724390062335,86.852
398,charter,188.758,0.2421,140.714,140.714,159.75799999999998,188.758,0.0678,0.0025,0.0499,0.2421,3749.9999,8.22951109229779,48.04400000000001
401,charter,173.59799999999998,0.6456,107.916,107.916,138.59799999999998,173.59799999999998,0.0678,0.0789,0.0559,0.6456,3749.9999,8.22951109229779,65.68199999999999
403,charter,114.254,0.4216,266.696,266.696,79.25399999999999,114.254,0.5333,0.0069,0.0361,0.4216,4583.332,8.430181523517474,152.442
407,charter,84.306,0.0046,85.698,85.698,60.306,84.306,0.1049,0.0451,0.0023,0.0046,3749.9999,8.22951109229779,1.391999999999996
408,charter,95.306,0.0058,212.658,212.658,60.306,95.306,0.5333,0.4522,0.0156,0.0058,3749.9999,8.22951109229779,117.35199999999999
409,charter,95.306,0.0058,212.658,212.658,60.306,95.306,0.5333,0.4522,0.0156,0.0058,3749.9999,8.22951109229779,117.35199999999999
410,charter,72.906,0.0046,69.498,69.498,48.906000000000006,72.906,0.1049,0.0451,0.0023,0.0046,2916.6666,7.978196667826407,3.4080000000000013
414,charter,95.306,0.4216,212.658,212.658,60.306,95.306,0.5333,0.0069,0.0361,0.4216,3749.9999,8.22951109229779,117.35199999999999
417,charter,112.274,0.0058,360.126,360.126,77.274,112.274,0.5333,0.4522,0.0156,0.0058,5416.6667,8.59723590524362,247.85199999999998
418,charter,59.874,0.0029,34.874,34.874,34.874,59.874,0.0678,0.0503,0.0276,0.0029,2083.3332,7.641724390062335,25.0
419,charter,91.074,0.0058,261.326,261.326,56.074,91.074,0.5333,0.4522,0.0156,0.0058,3749.9999,8.22951109229779,170.252
420,charter,189.734,0.6456,66.67399999999999,66.67399999999999,154.734,189.734,0.0678,0.0789,0.0559,0.6456,4583.332,8.430181523517474,123.06000000000002
421,charter,106.274,0.1648,77.274,77.274,77.274,106.274,0.0678,0.0789,0.0971,0.1648,5416.6667,8.59723590524362,29.0
422,charter,143.974,1.0266,266.616,266.616,108.974,143.974,0.5333,0.4522,0.2413,1.0266,3749.9999,8.22951109229779,122.642
423,charter,99.35,1.0266,191.334,191.334,64.35,99.35,0.5333,0.4522,0.2413,1.0266,2916.6666,7.978196667826407,91.98400000000001
425,charter,99.35,0.4216,191.334,191.334,64.35,99.35,0.5333,0.0069,0.0361,0.4216,2916.6666,7.978196667826407,91.98400000000001
429,charter,99.35,0.3975,191.334,191.334,64.35,99.35,0.5333,0.4522,0.1665,0.3975,2916.6666,7.978196667826407,91.98400000000001
430,charter,84.35,0.4216,146.734,146.734,49.35,84.35,0.5333,0.0069,0.0361,0.4216,2083.3332,7.641724390062335,62.384000000000015
431,charter,114.35,0.4216,235.93400000000003,235.93400000000003,79.35,114.35,0.5333,0.0069,0.0361,0.4216,3749.9999,8.22951109229779,121.58400000000003
